main_team,away_home,team_group,competition,n_matches,avg_goal_fatti,avg_goal_subiti
Almeria,away,0,La Liga,5,0.6,2.6
Almeria,away,1,La Liga,6,0.8333333333333334,2.3333333333333335
Almeria,away,2,La Liga,3,1.3333333333333333,1.3333333333333333
Almeria,away,all,La Liga,14,0.8571428571428571,2.2142857142857144
Almeria,home,0,La Liga,6,0.8333333333333334,1.6666666666666667
Almeria,home,1,La Liga,5,2.2,1.2
Almeria,home,2,La Liga,4,1.75,0.75
Almeria,home,all,La Liga,15,1.5333333333333334,1.2666666666666666
Arsenal,away,0,Premier League,4,2.75,1.75
Arsenal,away,1,Premier League,7,2.2857142857142856,0.2857142857142857
Arsenal,away,2,Premier League,5,1.0,0.8
Arsenal,away,all,Premier League,16,2.0,0.8125
Arsenal,home,0,Premier League,5,1.8,1.4
Arsenal,home,1,Premier League,5,2.6,1.4
Arsenal,home,2,Premier League,5,4.0,0.8
Arsenal,home,all,Premier League,15,2.8,1.2
Aston Villa,away,0,Premier League,5,1.2,2.0
Aston Villa,away,1,Premier League,4,0.75,2.0
Aston Villa,away,2,Premier League,6,1.1666666666666667,0.5
Aston Villa,away,all,Premier League,15,1.0666666666666667,1.4
Aston Villa,home,0,Premier League,4,2.25,1.5
Aston Villa,home,1,Premier League,6,1.6666666666666667,1.0
Aston Villa,home,2,Premier League,6,1.5,1.1666666666666667
Aston Villa,home,all,Premier League,16,1.75,1.1875
Atalanta,away,0,Serie A,5,1.2,1.4
Atalanta,away,1,Serie A,6,1.5,0.8333333333333334
Atalanta,away,2,Serie A,5,1.8,1.0
Atalanta,away,all,Serie A,16,1.5,1.0625
Atalanta,home,0,Serie A,4,1.0,2.0
Atalanta,home,1,Serie A,6,1.3333333333333333,0.8333333333333334
Atalanta,home,2,Serie A,4,3.0,1.25
Atalanta,home,all,Serie A,14,1.7142857142857142,1.2857142857142858
Ath Bilbao,away,0,La Liga,4,0.25,2.0
Ath Bilbao,away,1,La Liga,5,1.0,1.0
Ath Bilbao,away,2,La Liga,5,2.8,1.0
Ath Bilbao,away,all,La Liga,14,1.4285714285714286,1.2857142857142858
Ath Bilbao,home,0,La Liga,5,0.6,0.8
Ath Bilbao,home,1,La Liga,5,1.6,1.0
Ath Bilbao,home,2,La Liga,5,1.8,0.4
Ath Bilbao,home,all,La Liga,15,1.3333333333333333,0.7333333333333333
Ath Madrid,away,0,La Liga,4,1.25,0.75
Ath Madrid,away,1,La Liga,6,1.1666666666666667,0.3333333333333333
Ath Madrid,away,2,La Liga,4,1.75,1.0
Ath Madrid,away,all,La Liga,14,1.3571428571428572,0.6428571428571429
Ath Madrid,home,0,La Liga,5,0.6,1.0
Ath Madrid,home,1,La Liga,5,3.2,0.8
Ath Madrid,home,2,La Liga,5,1.8,0.6
Ath Madrid,home,all,La Liga,15,1.8666666666666667,0.8
Augsburg,away,0,Bundesliga,6,2.1666666666666665,3.0
Augsburg,away,1,Bundesliga,5,1.2,1.8
Augsburg,away,2,Bundesliga,3,1.3333333333333333,2.0
Augsburg,away,all,Bundesliga,14,1.6428571428571428,2.357142857142857
Augsburg,home,0,Bundesliga,5,1.2,1.8
Augsburg,home,1,Bundesliga,6,1.1666666666666667,1.1666666666666667
Augsburg,home,2,Bundesliga,3,0.3333333333333333,1.3333333333333333
Augsburg,home,all,Bundesliga,14,1.0,1.4285714285714286
Barcelona,away,0,La Liga,6,1.6666666666666667,0.8333333333333334
Barcelona,away,1,La Liga,4,1.75,0.25
Barcelona,away,2,La Liga,5,1.8,0.2
Barcelona,away,all,La Liga,15,1.7333333333333334,0.4666666666666667
Barcelona,home,0,La Liga,3,3.0,0.3333333333333333
Barcelona,home,1,La Liga,5,1.6,0.0
Barcelona,home,2,La Liga,6,1.6666666666666667,0.16666666666666666
Barcelona,home,all,La Liga,14,1.9285714285714286,0.14285714285714285
Bayern Munich,away,0,Bundesliga,6,2.0,1.1666666666666667
Bayern Munich,away,1,Bundesliga,4,2.0,1.5
Bayern Munich,away,2,Bundesliga,4,3.5,0.75
Bayern Munich,away,all,Bundesliga,14,2.4285714285714284,1.1428571428571428
Bayern Munich,home,0,Bundesliga,5,3.4,0.6
Bayern Munich,home,1,Bundesliga,7,3.142857142857143,1.2857142857142858
Bayern Munich,home,2,Bundesliga,2,2.5,1.0
Bayern Munich,home,all,Bundesliga,14,3.142857142857143,1.0
Betis,away,0,La Liga,4,1.0,1.0
Betis,away,1,La Liga,4,1.0,0.75
Betis,away,2,La Liga,6,1.1666666666666667,1.3333333333333333
Betis,away,all,La Liga,14,1.0714285714285714,1.0714285714285714
Betis,home,0,La Liga,5,0.6,0.8
Betis,home,1,La Liga,6,1.6666666666666667,1.1666666666666667
Betis,home,2,La Liga,4,2.25,1.0
Betis,home,all,La Liga,15,1.4666666666666666,1.0
Bochum,away,0,Bundesliga,7,0.2857142857142857,2.142857142857143
Bochum,away,1,Bundesliga,6,1.1666666666666667,2.5
Bochum,away,2,Bundesliga,2,1.0,3.5
Bochum,away,all,Bundesliga,15,0.7333333333333333,2.466666666666667
Bochum,home,0,Bundesliga,5,1.2,2.0
Bochum,home,1,Bundesliga,5,1.8,1.6
Bochum,home,2,Bundesliga,3,1.6666666666666667,2.0
Bochum,home,all,Bundesliga,13,1.5384615384615385,1.8461538461538463
Bologna,away,0,Serie A,7,0.8571428571428571,2.4285714285714284
Bologna,away,1,Serie A,4,1.5,1.0
Bologna,away,2,Serie A,3,2.0,1.6666666666666667
Bologna,away,all,Serie A,14,1.2857142857142858,1.8571428571428572
Bologna,home,0,Serie A,4,0.75,0.75
Bologna,home,1,Serie A,6,1.6666666666666667,0.6666666666666666
Bologna,home,2,Serie A,6,1.3333333333333333,0.6666666666666666
Bologna,home,all,Serie A,16,1.3125,0.6875
Bournemouth,away,0,Premier League,7,0.8571428571428571,2.4285714285714284
Bournemouth,away,1,Premier League,5,0.6,3.0
Bournemouth,away,2,Premier League,4,1.75,2.0
Bournemouth,away,all,Premier League,16,1.0,2.5
Bournemouth,home,0,Premier League,6,1.0,2.1666666666666665
Bournemouth,home,1,Premier League,5,0.6,0.6
Bournemouth,home,2,Premier League,4,1.5,0.75
Bournemouth,home,all,Premier League,15,1.0,1.2666666666666666
Brentford,away,0,Premier League,6,1.1666666666666667,2.5
Brentford,away,1,Premier League,4,0.75,1.5
Brentford,away,2,Premier League,6,1.3333333333333333,0.8333333333333334
Brentford,away,all,Premier League,16,1.125,1.625
Brentford,home,0,Premier League,5,1.8,1.4
Brentford,home,1,Premier League,6,1.6666666666666667,0.8333333333333334
Brentford,home,2,Premier League,4,2.5,1.0
Brentford,home,all,Premier League,15,1.9333333333333333,1.0666666666666667
Brighton,away,0,Premier League,3,1.3333333333333333,2.0
Brighton,away,1,Premier League,7,1.7142857142857142,1.5714285714285714
Brighton,away,2,Premier League,5,2.6,1.2
Brighton,away,all,Premier League,15,1.9333333333333333,1.5333333333333334
Brighton,home,0,Premier League,4,0.75,1.75
Brighton,home,1,Premier League,6,2.0,0.8333333333333334
Brighton,home,2,Premier League,4,2.5,0.5
Brighton,home,all,Premier League,14,1.7857142857142858,1.0
Cadiz,away,0,La Liga,5,0.8,1.6
Cadiz,away,1,La Liga,6,0.5,2.0
Cadiz,away,2,La Liga,3,0.6666666666666666,0.3333333333333333
Cadiz,away,all,La Liga,14,0.6428571428571429,1.5
Cadiz,home,0,La Liga,7,0.42857142857142855,1.8571428571428572
Cadiz,home,1,La Liga,4,1.25,0.5
Cadiz,home,2,La Liga,4,1.5,1.5
Cadiz,home,all,La Liga,15,0.9333333333333333,1.4
Celta,away,0,La Liga,4,1.5,2.25
Celta,away,1,La Liga,6,0.6666666666666666,1.1666666666666667
Celta,away,2,La Liga,4,1.25,1.75
Celta,away,all,La Liga,14,1.0714285714285714,1.6428571428571428
Celta,home,0,La Liga,6,0.8333333333333334,1.3333333333333333
Celta,home,1,La Liga,5,1.6,0.8
Celta,home,2,La Liga,4,2.0,1.25
Celta,home,all,La Liga,15,1.4,1.1333333333333333
Chelsea,away,0,Premier League,4,0.75,1.75
Chelsea,away,1,Premier League,5,0.6,0.8
Chelsea,away,2,Premier League,6,1.1666666666666667,1.3333333333333333
Chelsea,away,all,Premier League,15,0.8666666666666667,1.2666666666666666
Chelsea,home,0,Premier League,6,0.6666666666666666,1.5
Chelsea,home,1,Premier League,5,1.2,0.0
Chelsea,home,2,Premier League,5,1.4,1.0
Chelsea,home,all,Premier League,16,1.0625,0.875
Cremonese,away,0,Serie A,4,0.5,2.0
Cremonese,away,1,Serie A,6,1.3333333333333333,2.0
Cremonese,away,2,Serie A,5,1.6,1.8
Cremonese,away,all,Serie A,15,1.2,1.9333333333333333
Cremonese,home,0,Serie A,7,0.7142857142857143,2.142857142857143
Cremonese,home,1,Serie A,6,0.6666666666666666,1.1666666666666667
Cremonese,home,2,Serie A,2,0.0,1.5
Cremonese,home,all,Serie A,15,0.6,1.6666666666666667
Crystal Palace,away,0,Premier League,6,0.6666666666666666,2.0
Crystal Palace,away,1,Premier League,4,1.0,0.75
Crystal Palace,away,2,Premier League,6,1.5,1.0
Crystal Palace,away,all,Premier League,16,1.0625,1.3125
Crystal Palace,home,0,Premier League,7,0.7142857142857143,1.4285714285714286
Crystal Palace,home,1,Premier League,5,0.8,1.4
Crystal Palace,home,2,Premier League,3,1.6666666666666667,0.6666666666666666
Crystal Palace,home,all,Premier League,15,0.9333333333333333,1.2666666666666666
Dortmund,away,0,Bundesliga,6,1.5,1.8333333333333333
Dortmund,away,1,Bundesliga,6,1.5,1.6666666666666667
Dortmund,away,2,Bundesliga,3,2.0,1.6666666666666667
Dortmund,away,all,Bundesliga,15,1.6,1.7333333333333334
Dortmund,home,0,Bundesliga,5,2.4,1.0
Dortmund,home,1,Bundesliga,4,3.25,1.75
Dortmund,home,2,Bundesliga,4,3.25,0.25
Dortmund,home,all,Bundesliga,13,2.923076923076923,1.0
Ein Frankfurt,away,0,Bundesliga,5,0.8,1.8
Ein Frankfurt,away,1,Bundesliga,6,2.0,1.8333333333333333
Ein Frankfurt,away,2,Bundesliga,3,1.3333333333333333,1.6666666666666667
Ein Frankfurt,away,all,Bundesliga,14,1.4285714285714286,1.7857142857142858
Ein Frankfurt,home,0,Bundesliga,5,2.6,1.8
Ein Frankfurt,home,1,Bundesliga,5,1.6,1.0
Ein Frankfurt,home,2,Bundesliga,4,2.0,0.5
Ein Frankfurt,home,all,Bundesliga,14,2.0714285714285716,1.1428571428571428
Elche,away,0,La Liga,6,0.0,3.0
Elche,away,1,La Liga,6,0.6666666666666666,1.8333333333333333
Elche,away,2,La Liga,3,1.6666666666666667,1.6666666666666667
Elche,away,all,La Liga,15,0.6,2.2666666666666666
Elche,home,0,La Liga,6,1.0,2.6666666666666665
Elche,home,1,La Liga,5,0.8,1.2
Elche,home,2,La Liga,3,0.3333333333333333,1.0
Elche,home,all,La Liga,14,0.7857142857142857,1.7857142857142858
Empoli,away,0,Serie A,7,0.5714285714285714,1.7142857142857142
Empoli,away,1,Serie A,5,1.0,1.0
Empoli,away,2,Serie A,4,0.75,1.25
Empoli,away,all,Serie A,16,0.75,1.375
Empoli,home,0,Serie A,4,0.5,2.25
Empoli,home,1,Serie A,5,0.8,0.6
Empoli,home,2,Serie A,5,1.4,0.6
Empoli,home,all,Serie A,14,0.9285714285714286,1.0714285714285714
Espanol,away,0,La Liga,6,1.0,1.6666666666666667
Espanol,away,1,La Liga,5,1.0,1.6
Espanol,away,2,La Liga,4,1.5,1.5
Espanol,away,all,La Liga,15,1.1333333333333333,1.6
Espanol,home,0,La Liga,5,1.0,1.8
Espanol,home,1,La Liga,7,1.2857142857142858,1.7142857142857142
Espanol,home,2,La Liga,2,2.0,2.0
Espanol,home,all,La Liga,14,1.2857142857142858,1.7857142857142858
Everton,away,0,Premier League,6,0.3333333333333333,2.0
Everton,away,1,Premier League,5,0.6,1.6
Everton,away,2,Premier League,4,1.25,1.5
Everton,away,all,Premier League,15,0.6666666666666666,1.7333333333333334
Everton,home,0,Premier League,5,0.8,1.8
Everton,home,1,Premier League,6,1.0,1.0
Everton,home,2,Premier League,5,0.8,1.0
Everton,home,all,Premier League,16,0.875,1.25
FC Koln,away,0,Bundesliga,6,0.8333333333333334,2.0
FC Koln,away,1,Bundesliga,4,2.25,3.25
FC Koln,away,2,Bundesliga,4,0.25,1.5
FC Koln,away,all,Bundesliga,14,1.0714285714285714,2.2142857142857144
FC Koln,home,0,Bundesliga,5,1.4,1.0
FC Koln,home,1,Bundesliga,6,2.0,1.1666666666666667
FC Koln,home,2,Bundesliga,3,1.0,1.0
FC Koln,home,all,Bundesliga,14,1.5714285714285714,1.0714285714285714
Fiorentina,away,0,Serie A,6,0.5,1.1666666666666667
Fiorentina,away,1,Serie A,3,0.3333333333333333,1.0
Fiorentina,away,2,Serie A,5,2.0,0.4
Fiorentina,away,all,Serie A,14,1.0,0.8571428571428571
Fiorentina,home,0,Serie A,6,1.1666666666666667,1.8333333333333333
Fiorentina,home,1,Serie A,5,1.0,1.2
Fiorentina,home,2,Serie A,5,1.8,0.8
Fiorentina,home,all,Serie A,16,1.3125,1.3125
Freiburg,away,0,Bundesliga,4,1.25,3.75
Freiburg,away,1,Bundesliga,6,1.1666666666666667,1.3333333333333333
Freiburg,away,2,Bundesliga,4,1.75,0.5
Freiburg,away,all,Bundesliga,14,1.3571428571428572,1.7857142857142858
Freiburg,home,0,Bundesliga,5,1.4,1.4
Freiburg,home,1,Bundesliga,6,1.8333333333333333,0.5
Freiburg,home,2,Bundesliga,3,1.3333333333333333,0.6666666666666666
Freiburg,home,all,Bundesliga,14,1.5714285714285714,0.8571428571428571
Fulham,away,0,Premier League,5,0.8,1.4
Fulham,away,1,Premier League,5,1.2,1.0
Fulham,away,2,Premier League,5,2.2,1.6
Fulham,away,all,Premier League,15,1.4,1.3333333333333333
Fulham,home,0,Premier League,6,1.1666666666666667,1.8333333333333333
Fulham,home,1,Premier League,5,2.0,1.6
Fulham,home,2,Premier League,4,1.0,0.5
Fulham,home,all,Premier League,15,1.4,1.4
Getafe,away,0,La Liga,5,0.4,1.2
Getafe,away,1,La Liga,5,1.0,1.2
Getafe,away,2,La Liga,4,1.0,2.0
Getafe,away,all,La Liga,14,0.7857142857142857,1.4285714285714286
Getafe,home,0,La Liga,7,0.5714285714285714,1.1428571428571428
Getafe,home,1,La Liga,5,2.0,1.2
Getafe,home,2,La Liga,3,0.6666666666666666,0.6666666666666666
Getafe,home,all,La Liga,15,1.0666666666666667,1.0666666666666667
Girona,away,0,La Liga,6,1.0,1.3333333333333333
Girona,away,1,La Liga,2,1.5,1.5
Girona,away,2,La Liga,6,1.3333333333333333,2.0
Girona,away,all,La Liga,14,1.2142857142857142,1.6428571428571428
Girona,home,0,La Liga,4,1.25,2.0
Girona,home,1,La Liga,5,1.4,1.2
Girona,home,2,La Liga,6,2.5,0.8333333333333334
Girona,home,all,La Liga,15,1.8,1.2666666666666666
Hertha,away,0,Bundesliga,6,1.0,3.0
Hertha,away,1,Bundesliga,5,0.8,1.2
Hertha,away,2,Bundesliga,3,1.3333333333333333,3.3333333333333335
Hertha,away,all,Bundesliga,14,1.0,2.4285714285714284
Hertha,home,0,Bundesliga,7,1.0,1.7142857142857142
Hertha,home,1,Bundesliga,6,1.6666666666666667,1.3333333333333333
Hertha,home,2,Bundesliga,1,2.0,1.0
Hertha,home,all,Bundesliga,14,1.3571428571428572,1.5
Hoffenheim,away,0,Bundesliga,6,1.3333333333333333,1.8333333333333333
Hoffenheim,away,1,Bundesliga,5,0.8,1.4
Hoffenheim,away,2,Bundesliga,3,2.0,2.0
Hoffenheim,away,all,Bundesliga,14,1.2857142857142858,1.7142857142857142
Hoffenheim,home,0,Bundesliga,5,0.4,1.8
Hoffenheim,home,1,Bundesliga,5,1.6,1.8
Hoffenheim,home,2,Bundesliga,4,2.5,1.25
Hoffenheim,home,all,Bundesliga,14,1.4285714285714286,1.6428571428571428
Inter,away,0,Serie A,4,1.5,2.5
Inter,away,1,Serie A,5,1.8,2.0
Inter,away,2,Serie A,5,1.2,1.0
Inter,away,all,Serie A,14,1.5,1.7857142857142858
Inter,home,0,Serie A,4,0.75,0.75
Inter,home,1,Serie A,6,1.6666666666666667,0.8333333333333334
Inter,home,2,Serie A,6,2.3333333333333335,0.16666666666666666
Inter,home,all,Serie A,16,1.6875,0.5625
Juventus,away,0,Serie A,5,0.6,2.0
Juventus,away,1,Serie A,4,0.5,0.75
Juventus,away,2,Serie A,6,1.3333333333333333,0.0
Juventus,away,all,Serie A,15,0.8666666666666667,0.8666666666666667
Juventus,home,0,Serie A,4,2.25,1.0
Juventus,home,1,Serie A,7,2.2857142857142856,0.5714285714285714
Juventus,home,2,Serie A,4,2.25,1.0
Juventus,home,all,Serie A,15,2.2666666666666666,0.8
Lazio,away,0,Serie A,4,1.0,0.75
Lazio,away,1,Serie A,5,1.6,0.0
Lazio,away,2,Serie A,6,2.0,0.6666666666666666
Lazio,away,all,Serie A,15,1.6,0.4666666666666667
Lazio,home,0,Serie A,6,1.8333333333333333,1.0
Lazio,home,1,Serie A,5,1.2,0.8
Lazio,home,2,Serie A,4,2.0,0.75
Lazio,home,all,Serie A,15,1.6666666666666667,0.8666666666666667
Lecce,away,0,Serie A,4,1.0,1.5
Lecce,away,1,Serie A,6,0.16666666666666666,1.1666666666666667
Lecce,away,2,Serie A,5,1.2,0.6
Lecce,away,all,Serie A,15,0.7333333333333333,1.0666666666666667
Lecce,home,0,Serie A,7,1.2857142857142858,1.4285714285714286
Lecce,home,1,Serie A,5,0.6,1.2
Lecce,home,2,Serie A,3,1.0,1.3333333333333333
Lecce,home,all,Serie A,15,1.0,1.3333333333333333
Leeds,away,0,Premier League,6,1.1666666666666667,2.1666666666666665
Leeds,away,1,Premier League,5,1.8,2.2
Leeds,away,2,Premier League,4,0.5,1.5
Leeds,away,all,Premier League,15,1.2,2.0
Leeds,home,0,Premier League,5,0.6,1.6
Leeds,home,1,Premier League,7,1.8571428571428572,2.5714285714285716
Leeds,home,2,Premier League,4,1.5,1.0
