main_team,team_group,competition,n_matches,avg_win,avg_draw,avg_loss,win_streak_weighted,draw_streak_weighted,loss_streak_weighted,tot_giornata,win_streak_weighted_ratio,draw_streak_weighted_ratio,loss_streak_weighted_ratio
Almeria,0,La Liga,10,0.1,0.1,0.8,24.0,17.0,104.0,145.0,0.16551724137931034,0.11724137931034483,0.7172413793103448
Almeria,1,La Liga,11,0.45454545454545453,0.09090909090909091,0.45454545454545453,47.0,28.0,81.0,156.0,0.30128205128205127,0.1794871794871795,0.5192307692307693
Almeria,2,La Liga,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,19.0,62.0,4.0,85.0,0.2235294117647059,0.7294117647058823,0.047058823529411764
Almeria,all,La Liga,27,0.25925925925925924,0.2222222222222222,0.5185185185185185,90.0,107.0,189.0,386.0,0.23316062176165803,0.2772020725388601,0.4896373056994819
Arsenal,0,Premier League,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,97.0,19.0,18.0,134.0,0.7238805970149254,0.1417910447761194,0.13432835820895522
Arsenal,1,Premier League,11,0.9090909090909091,0.09090909090909091,0.0,149.0,23.0,0.0,172.0,0.8662790697674418,0.13372093023255813,0.0
Arsenal,2,Premier League,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,94.0,13.0,22.0,129.0,0.7286821705426356,0.10077519379844961,0.17054263565891473
Arsenal,all,Premier League,29,0.7931034482758621,0.10344827586206896,0.10344827586206896,340.0,55.0,40.0,435.0,0.7816091954022989,0.12643678160919541,0.09195402298850575
Aston Villa,0,Premier League,8,0.375,0.125,0.5,49.0,6.0,66.0,121.0,0.4049586776859504,0.049586776859504134,0.5454545454545454
Aston Villa,1,Premier League,10,0.4,0.2,0.4,88.0,28.0,43.0,159.0,0.5534591194968553,0.1761006289308176,0.27044025157232704
Aston Villa,2,Premier League,11,0.5454545454545454,0.18181818181818182,0.2727272727272727,91.0,37.0,27.0,155.0,0.5870967741935483,0.23870967741935484,0.17419354838709677
Aston Villa,all,Premier League,29,0.4482758620689655,0.1724137931034483,0.3793103448275862,228.0,71.0,136.0,435.0,0.5241379310344828,0.1632183908045977,0.31264367816091954
Atalanta,0,Serie A,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,29.0,21.0,89.0,139.0,0.20863309352517986,0.1510791366906475,0.6402877697841727
Atalanta,1,Serie A,10,0.7,0.2,0.1,83.0,34.0,21.0,138.0,0.6014492753623188,0.2463768115942029,0.15217391304347827
Atalanta,2,Serie A,9,0.5555555555555556,0.2222222222222222,0.2222222222222222,70.0,22.0,37.0,129.0,0.5426356589147286,0.17054263565891473,0.2868217054263566
Atalanta,all,Serie A,28,0.5,0.21428571428571427,0.2857142857142857,182.0,77.0,147.0,406.0,0.4482758620689655,0.1896551724137931,0.3620689655172414
Ath Bilbao,0,La Liga,8,0.125,0.125,0.75,12.0,15.0,104.0,131.0,0.0916030534351145,0.11450381679389313,0.7938931297709924
Ath Bilbao,1,La Liga,10,0.1,0.6,0.3,6.0,88.0,56.0,150.0,0.04,0.5866666666666667,0.37333333333333335
Ath Bilbao,2,La Liga,9,0.8888888888888888,0.0,0.1111111111111111,101.0,0.0,4.0,105.0,0.9619047619047619,0.0,0.0380952380952381
Ath Bilbao,all,La Liga,27,0.37037037037037035,0.25925925925925924,0.37037037037037035,119.0,103.0,164.0,386.0,0.3082901554404145,0.266839378238342,0.42487046632124353
Ath Madrid,0,La Liga,9,0.4444444444444444,0.2222222222222222,0.3333333333333333,71.0,28.0,24.0,123.0,0.5772357723577236,0.22764227642276422,0.1951219512195122
Ath Madrid,1,La Liga,11,0.7272727272727273,0.18181818181818182,0.09090909090909091,113.0,31.0,14.0,158.0,0.7151898734177216,0.1962025316455696,0.08860759493670886
Ath Madrid,2,La Liga,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,63.0,30.0,12.0,105.0,0.6,0.2857142857142857,0.11428571428571428
Ath Madrid,all,La Liga,27,0.5925925925925926,0.2222222222222222,0.18518518518518517,247.0,89.0,50.0,386.0,0.6398963730569949,0.23056994818652848,0.12953367875647667
Augsburg,0,Bundesliga,10,0.3,0.2,0.5,28.0,25.0,72.0,125.0,0.224,0.2,0.576
Augsburg,1,Bundesliga,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,46.0,35.0,48.0,129.0,0.35658914728682173,0.2713178294573643,0.37209302325581395
Augsburg,2,Bundesliga,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,29.0,25.0,43.0,97.0,0.29896907216494845,0.25773195876288657,0.44329896907216493
Augsburg,all,Bundesliga,26,0.3076923076923077,0.19230769230769232,0.5,103.0,85.0,163.0,351.0,0.2934472934472934,0.24216524216524216,0.46438746438746437
Barcelona,0,La Liga,9,0.8888888888888888,0.0,0.1111111111111111,134.0,0.0,9.0,143.0,0.9370629370629371,0.0,0.06293706293706294
Barcelona,1,La Liga,8,0.875,0.125,0.0,91.0,1.0,0.0,92.0,0.9891304347826086,0.010869565217391304,0.0
Barcelona,2,La Liga,10,0.8,0.1,0.1,115.0,15.0,24.0,154.0,0.7467532467532467,0.09740259740259741,0.15584415584415584
Barcelona,all,La Liga,27,0.8518518518518519,0.07407407407407407,0.07407407407407407,340.0,16.0,33.0,389.0,0.8740359897172236,0.04113110539845758,0.08483290488431877
Bayern Munich,0,Bundesliga,10,0.5,0.4,0.1,67.0,48.0,25.0,140.0,0.4785714285714286,0.34285714285714286,0.17857142857142858
Bayern Munich,1,Bundesliga,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,94.0,21.0,28.0,143.0,0.6573426573426573,0.14685314685314685,0.1958041958041958
Bayern Munich,2,Bundesliga,5,0.8,0.2,0.0,62.0,6.0,0.0,68.0,0.9117647058823529,0.08823529411764706,0.0
Bayern Munich,all,Bundesliga,26,0.6153846153846154,0.2692307692307692,0.11538461538461539,223.0,75.0,53.0,351.0,0.6353276353276354,0.21367521367521367,0.150997150997151
Betis,0,La Liga,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,17.0,66.0,63.0,146.0,0.11643835616438356,0.4520547945205479,0.4315068493150685
Betis,1,La Liga,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,73.0,13.0,28.0,114.0,0.6403508771929824,0.11403508771929824,0.24561403508771928
Betis,2,La Liga,9,0.5555555555555556,0.2222222222222222,0.2222222222222222,79.0,18.0,32.0,129.0,0.6124031007751938,0.13953488372093023,0.24806201550387597
Betis,all,La Liga,27,0.48148148148148145,0.2222222222222222,0.2962962962962963,169.0,97.0,123.0,389.0,0.43444730077120824,0.2493573264781491,0.3161953727506427
Bochum,0,Bundesliga,11,0.2727272727272727,0.09090909090909091,0.6363636363636364,45.0,26.0,86.0,157.0,0.28662420382165604,0.16560509554140126,0.5477707006369427
Bochum,1,Bundesliga,9,0.3333333333333333,0.1111111111111111,0.5555555555555556,53.0,7.0,58.0,118.0,0.4491525423728814,0.059322033898305086,0.4915254237288136
Bochum,2,Bundesliga,6,0.3333333333333333,0.0,0.6666666666666666,35.0,0.0,41.0,76.0,0.4605263157894737,0.0,0.5394736842105263
Bochum,all,Bundesliga,26,0.3076923076923077,0.07692307692307693,0.6153846153846154,133.0,33.0,185.0,351.0,0.3789173789173789,0.09401709401709402,0.5270655270655271
Bologna,0,Serie A,9,0.1111111111111111,0.1111111111111111,0.7777777777777778,24.0,26.0,69.0,119.0,0.20168067226890757,0.2184873949579832,0.5798319327731093
Bologna,1,Serie A,10,0.7,0.0,0.3,113.0,0.0,54.0,167.0,0.6766467065868264,0.0,0.32335329341317365
Bologna,2,Serie A,9,0.3333333333333333,0.6666666666666666,0.0,54.0,66.0,0.0,120.0,0.45,0.55,0.0
Bologna,all,Serie A,28,0.39285714285714285,0.25,0.35714285714285715,191.0,92.0,123.0,406.0,0.47044334975369456,0.22660098522167488,0.30295566502463056
Bournemouth,0,Premier League,12,0.08333333333333333,0.16666666666666666,0.75,1.0,31.0,146.0,178.0,0.0056179775280898875,0.17415730337078653,0.8202247191011236
Bournemouth,1,Premier League,11,0.2727272727272727,0.2727272727272727,0.45454545454545453,80.0,25.0,74.0,179.0,0.44692737430167595,0.13966480446927373,0.4134078212290503
Bournemouth,2,Premier League,6,0.5,0.16666666666666666,0.3333333333333333,32.0,21.0,25.0,78.0,0.41025641025641024,0.2692307692307692,0.32051282051282054
Bournemouth,all,Premier League,29,0.2413793103448276,0.20689655172413793,0.5517241379310345,113.0,77.0,245.0,435.0,0.2597701149425287,0.17701149425287357,0.5632183908045977
Brentford,0,Premier League,10,0.3,0.3,0.4,29.0,69.0,56.0,154.0,0.18831168831168832,0.44805194805194803,0.36363636363636365
Brentford,1,Premier League,9,0.3333333333333333,0.5555555555555556,0.1111111111111111,51.0,76.0,3.0,130.0,0.3923076923076923,0.5846153846153846,0.023076923076923078
Brentford,2,Premier League,10,0.4,0.5,0.1,67.0,57.0,27.0,151.0,0.44370860927152317,0.37748344370860926,0.17880794701986755
Brentford,all,Premier League,29,0.3448275862068966,0.4482758620689655,0.20689655172413793,147.0,202.0,86.0,435.0,0.33793103448275863,0.46436781609195404,0.19770114942528735
Brighton,0,Premier League,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,2.0,57.0,60.0,0.016666666666666666,0.03333333333333333,0.95
Brighton,1,Premier League,12,0.4166666666666667,0.3333333333333333,0.25,61.0,88.0,40.0,189.0,0.32275132275132273,0.4656084656084656,0.21164021164021163
Brighton,2,Premier League,9,0.7777777777777778,0.2222222222222222,0.0,100.0,33.0,0.0,133.0,0.7518796992481203,0.24812030075187969,0.0
Brighton,all,Premier League,27,0.48148148148148145,0.25925925925925924,0.25925925925925924,162.0,123.0,97.0,382.0,0.42408376963350786,0.3219895287958115,0.25392670157068065
Cadiz,0,La Liga,10,0.1,0.3,0.6,12.0,42.0,67.0,121.0,0.09917355371900827,0.34710743801652894,0.5537190082644629
Cadiz,1,La Liga,11,0.2727272727272727,0.2727272727272727,0.45454545454545453,65.0,48.0,63.0,176.0,0.3693181818181818,0.2727272727272727,0.35795454545454547
Cadiz,2,La Liga,6,0.3333333333333333,0.6666666666666666,0.0,22.0,67.0,0.0,89.0,0.24719101123595505,0.7528089887640449,0.0
Cadiz,all,La Liga,27,0.2222222222222222,0.37037037037037035,0.4074074074074074,99.0,157.0,130.0,386.0,0.25647668393782386,0.4067357512953368,0.33678756476683935
Celta,0,La Liga,10,0.3,0.2,0.5,47.0,40.0,46.0,133.0,0.3533834586466165,0.3007518796992481,0.3458646616541353
Celta,1,La Liga,8,0.25,0.5,0.25,29.0,65.0,31.0,125.0,0.232,0.52,0.248
Celta,2,La Liga,9,0.4444444444444444,0.2222222222222222,0.3333333333333333,71.0,29.0,28.0,128.0,0.5546875,0.2265625,0.21875
Celta,all,La Liga,27,0.3333333333333333,0.2962962962962963,0.37037037037037035,147.0,134.0,105.0,386.0,0.38082901554404147,0.3471502590673575,0.27202072538860106
Chelsea,0,Premier League,9,0.1111111111111111,0.2222222222222222,0.6666666666666666,11.0,15.0,118.0,144.0,0.0763888888888889,0.10416666666666667,0.8194444444444444
Chelsea,1,Premier League,10,0.4,0.4,0.2,65.0,86.0,10.0,161.0,0.40372670807453415,0.5341614906832298,0.062111801242236024
Chelsea,2,Premier League,10,0.5,0.3,0.2,55.0,69.0,29.0,153.0,0.35947712418300654,0.45098039215686275,0.1895424836601307
Chelsea,all,Premier League,29,0.3448275862068966,0.3103448275862069,0.3448275862068966,131.0,170.0,157.0,458.0,0.28602620087336245,0.37117903930131,0.34279475982532753
Cremonese,0,Serie A,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,24.0,20.0,108.0,152.0,0.15789473684210525,0.13157894736842105,0.7105263157894737
Cremonese,1,Serie A,11,0.0,0.45454545454545453,0.5454545454545454,0.0,86.0,88.0,174.0,0.0,0.4942528735632184,0.5057471264367817
Cremonese,2,Serie A,6,0.0,0.5,0.5,0.0,31.0,49.0,80.0,0.0,0.3875,0.6125
Cremonese,all,Serie A,28,0.03571428571428571,0.35714285714285715,0.6071428571428571,24.0,137.0,245.0,406.0,0.059113300492610835,0.3374384236453202,0.603448275862069
Crystal Palace,0,Premier League,13,0.07692307692307693,0.3076923076923077,0.6153846153846154,3.0,57.0,135.0,195.0,0.015384615384615385,0.2923076923076923,0.6923076923076923
Crystal Palace,1,Premier League,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,22.0,56.0,46.0,124.0,0.1774193548387097,0.45161290322580644,0.3709677419354839
Crystal Palace,2,Premier League,7,0.5714285714285714,0.14285714285714285,0.2857142857142857,76.0,11.0,29.0,116.0,0.6551724137931034,0.09482758620689655,0.25
Crystal Palace,all,Premier League,29,0.2413793103448276,0.3103448275862069,0.4482758620689655,101.0,124.0,210.0,435.0,0.23218390804597702,0.2850574712643678,0.4827586206896552
Dortmund,0,Bundesliga,10,0.6,0.1,0.3,75.0,9.0,42.0,126.0,0.5952380952380952,0.07142857142857142,0.3333333333333333
Dortmund,1,Bundesliga,9,0.5555555555555556,0.0,0.4444444444444444,91.0,0.0,40.0,131.0,0.6946564885496184,0.0,0.3053435114503817
Dortmund,2,Bundesliga,7,0.8571428571428571,0.14285714285714285,0.0,70.0,24.0,0.0,94.0,0.7446808510638298,0.2553191489361702,0.0
Dortmund,all,Bundesliga,26,0.6538461538461539,0.07692307692307693,0.2692307692307692,236.0,33.0,82.0,351.0,0.6723646723646723,0.09401709401709402,0.2336182336182336
Ein Frankfurt,0,Bundesliga,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,23.0,35.0,60.0,118.0,0.19491525423728814,0.2966101694915254,0.5084745762711864
Ein Frankfurt,1,Bundesliga,11,0.36363636363636365,0.36363636363636365,0.2727272727272727,49.0,67.0,35.0,151.0,0.32450331125827814,0.44370860927152317,0.23178807947019867
Ein Frankfurt,2,Bundesliga,6,0.6666666666666666,0.3333333333333333,0.0,56.0,26.0,0.0,82.0,0.6829268292682927,0.3170731707317073,0.0
Ein Frankfurt,all,Bundesliga,26,0.4230769230769231,0.3076923076923077,0.2692307692307692,128.0,128.0,95.0,351.0,0.3646723646723647,0.3646723646723647,0.2706552706552707
Elche,0,La Liga,12,0.08333333333333333,0.0,0.9166666666666666,21.0,0.0,145.0,166.0,0.12650602409638553,0.0,0.8734939759036144
Elche,1,La Liga,8,0.125,0.25,0.625,25.0,26.0,68.0,119.0,0.21008403361344538,0.2184873949579832,0.5714285714285714
Elche,2,La Liga,7,0.0,0.7142857142857143,0.2857142857142857,0.0,65.0,36.0,101.0,0.0,0.6435643564356436,0.3564356435643564
Elche,all,La Liga,27,0.07407407407407407,0.25925925925925924,0.6666666666666666,46.0,91.0,249.0,386.0,0.11917098445595854,0.23575129533678757,0.6450777202072538
Empoli,0,Serie A,10,0.1,0.1,0.8,19.0,17.0,123.0,159.0,0.11949685534591195,0.1069182389937107,0.7735849056603774
Empoli,1,Serie A,10,0.3,0.5,0.2,30.0,70.0,51.0,151.0,0.1986754966887417,0.46357615894039733,0.33774834437086093
Empoli,2,Serie A,8,0.375,0.5,0.125,61.0,34.0,1.0,96.0,0.6354166666666666,0.3541666666666667,0.010416666666666666
Empoli,all,Serie A,28,0.25,0.35714285714285715,0.39285714285714285,110.0,121.0,175.0,406.0,0.270935960591133,0.29802955665024633,0.43103448275862066
Espanol,0,La Liga,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,22.0,28.0,71.0,121.0,0.18181818181818182,0.23140495867768596,0.5867768595041323
Espanol,1,La Liga,11,0.18181818181818182,0.36363636363636365,0.45454545454545453,41.0,50.0,72.0,163.0,0.25153374233128833,0.3067484662576687,0.44171779141104295
Espanol,2,La Liga,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,32.0,26.0,44.0,102.0,0.3137254901960784,0.2549019607843137,0.43137254901960786
Espanol,all,La Liga,27,0.2222222222222222,0.3333333333333333,0.4444444444444444,95.0,104.0,187.0,386.0,0.24611398963730569,0.2694300518134715,0.4844559585492228
Everton,0,Premier League,10,0.1,0.2,0.7,22.0,47.0,86.0,155.0,0.14193548387096774,0.3032258064516129,0.5548387096774193
Everton,1,Premier League,11,0.2727272727272727,0.45454545454545453,0.2727272727272727,64.0,57.0,41.0,162.0,0.3950617283950617,0.35185185185185186,0.25308641975308643
Everton,2,Premier League,8,0.25,0.25,0.5,17.0,29.0,72.0,118.0,0.1440677966101695,0.2457627118644068,0.6101694915254238
Everton,all,Premier League,29,0.20689655172413793,0.3103448275862069,0.4827586206896552,103.0,133.0,199.0,435.0,0.2367816091954023,0.3057471264367816,0.4574712643678161
FC Koln,0,Bundesliga,11,0.18181818181818182,0.45454545454545453,0.36363636363636365,28.0,64.0,58.0,150.0,0.18666666666666668,0.4266666666666667,0.38666666666666666
FC Koln,1,Bundesliga,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,31.0,33.0,66.0,130.0,0.23846153846153847,0.25384615384615383,0.5076923076923077
FC Koln,2,Bundesliga,6,0.16666666666666666,0.5,0.3333333333333333,1.0,34.0,36.0,71.0,0.014084507042253521,0.4788732394366197,0.5070422535211268
FC Koln,all,Bundesliga,26,0.23076923076923078,0.38461538461538464,0.38461538461538464,60.0,131.0,160.0,351.0,0.17094017094017094,0.3732193732193732,0.45584045584045585
Fiorentina,0,Serie A,11,0.18181818181818182,0.2727272727272727,0.5454545454545454,53.0,28.0,83.0,164.0,0.3231707317073171,0.17073170731707318,0.5060975609756098
Fiorentina,1,Serie A,8,0.125,0.375,0.5,17.0,41.0,50.0,108.0,0.1574074074074074,0.37962962962962965,0.46296296296296297
Fiorentina,2,Serie A,9,0.8888888888888888,0.1111111111111111,0.0,124.0,10.0,0.0,134.0,0.9253731343283582,0.07462686567164178,0.0
Fiorentina,all,Serie A,28,0.39285714285714285,0.25,0.35714285714285715,194.0,79.0,133.0,406.0,0.47783251231527096,0.19458128078817735,0.3275862068965517
Freiburg,0,Bundesliga,8,0.25,0.25,0.5,20.0,39.0,45.0,104.0,0.19230769230769232,0.375,0.4326923076923077
Freiburg,1,Bundesliga,11,0.6363636363636364,0.2727272727272727,0.09090909090909091,76.0,54.0,16.0,146.0,0.5205479452054794,0.3698630136986301,0.1095890410958904
Freiburg,2,Bundesliga,7,0.5714285714285714,0.42857142857142855,0.0,59.0,42.0,0.0,101.0,0.5841584158415841,0.4158415841584158,0.0
Freiburg,all,Bundesliga,26,0.5,0.3076923076923077,0.19230769230769232,155.0,135.0,61.0,351.0,0.4415954415954416,0.38461538461538464,0.1737891737891738
Fulham,0,Premier League,11,0.2727272727272727,0.0,0.7272727272727273,41.0,0.0,118.0,159.0,0.2578616352201258,0.0,0.7421383647798742
Fulham,1,Premier League,9,0.4444444444444444,0.4444444444444444,0.1111111111111111,40.0,50.0,26.0,116.0,0.3448275862068966,0.43103448275862066,0.22413793103448276
Fulham,2,Premier League,8,0.5,0.25,0.25,68.0,25.0,39.0,132.0,0.5151515151515151,0.1893939393939394,0.29545454545454547
Fulham,all,Premier League,28,0.39285714285714285,0.21428571428571427,0.39285714285714285,149.0,75.0,183.0,407.0,0.36609336609336607,0.18427518427518427,0.44963144963144963
Getafe,0,La Liga,10,0.1,0.4,0.5,5.0,62.0,70.0,137.0,0.0364963503649635,0.45255474452554745,0.5109489051094891
Getafe,1,La Liga,9,0.4444444444444444,0.3333333333333333,0.2222222222222222,73.0,42.0,18.0,133.0,0.5488721804511278,0.3157894736842105,0.13533834586466165
Getafe,2,La Liga,8,0.25,0.25,0.5,35.0,39.0,42.0,116.0,0.3017241379310345,0.33620689655172414,0.3620689655172414
Getafe,all,La Liga,27,0.25925925925925924,0.3333333333333333,0.4074074074074074,113.0,143.0,130.0,386.0,0.2927461139896373,0.3704663212435233,0.33678756476683935
Girona,0,La Liga,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,37.0,12.0,84.0,133.0,0.2781954887218045,0.09022556390977443,0.631578947368421
Girona,1,La Liga,8,0.25,0.5,0.25,19.0,57.0,28.0,104.0,0.18269230769230768,0.5480769230769231,0.2692307692307692
Girona,2,La Liga,10,0.5,0.2,0.3,91.0,25.0,33.0,149.0,0.610738255033557,0.16778523489932887,0.2214765100671141
Girona,all,La Liga,27,0.3333333333333333,0.25925925925925924,0.4074074074074074,147.0,94.0,145.0,386.0,0.38082901554404147,0.24352331606217617,0.3756476683937824
Hertha,0,Bundesliga,12,0.0,0.3333333333333333,0.6666666666666666,0.0,43.0,109.0,152.0,0.0,0.28289473684210525,0.7171052631578947
Hertha,1,Bundesliga,10,0.4,0.2,0.4,62.0,31.0,48.0,141.0,0.4397163120567376,0.2198581560283688,0.3404255319148936
Hertha,2,Bundesliga,4,0.25,0.25,0.5,11.0,8.0,39.0,58.0,0.1896551724137931,0.13793103448275862,0.6724137931034483
Hertha,all,Bundesliga,26,0.19230769230769232,0.2692307692307692,0.5384615384615384,73.0,82.0,196.0,351.0,0.20797720797720798,0.2336182336182336,0.5584045584045584
Hoffenheim,0,Bundesliga,10,0.1,0.1,0.8,3.0,7.0,125.0,135.0,0.022222222222222223,0.05185185185185185,0.9259259259259259
Hoffenheim,1,Bundesliga,12,0.3333333333333333,0.08333333333333333,0.5833333333333334,38.0,12.0,106.0,156.0,0.24358974358974358,0.07692307692307693,0.6794871794871795
Hoffenheim,2,Bundesliga,4,0.5,0.5,0.0,35.0,25.0,0.0,60.0,0.5833333333333334,0.4166666666666667,0.0
Hoffenheim,all,Bundesliga,26,0.2692307692307692,0.15384615384615385,0.5769230769230769,76.0,44.0,231.0,351.0,0.21652421652421652,0.12535612535612536,0.6581196581196581
Inter,0,Serie A,8,0.375,0.0,0.625,52.0,0.0,56.0,108.0,0.48148148148148145,0.0,0.5185185185185185
Inter,1,Serie A,10,0.5,0.1,0.4,63.0,17.0,78.0,158.0,0.3987341772151899,0.10759493670886076,0.4936708860759494
Inter,2,Serie A,10,0.8,0.1,0.1,92.0,22.0,26.0,140.0,0.6571428571428571,0.15714285714285714,0.18571428571428572
Inter,all,Serie A,28,0.5714285714285714,0.07142857142857142,0.35714285714285715,207.0,39.0,160.0,406.0,0.5098522167487685,0.0960591133004926,0.39408866995073893
Juventus,0,Serie A,8,0.375,0.25,0.375,55.0,22.0,52.0,129.0,0.4263565891472868,0.17054263565891473,0.40310077519379844
Juventus,1,Serie A,10,0.7,0.1,0.2,93.0,5.0,27.0,125.0,0.744,0.04,0.216
Juventus,2,Serie A,10,0.8,0.2,0.0,144.0,8.0,0.0,152.0,0.9473684210526315,0.05263157894736842,0.0
Juventus,all,Serie A,28,0.6428571428571429,0.17857142857142858,0.17857142857142858,292.0,35.0,79.0,406.0,0.7192118226600985,0.08620689655172414,0.19458128078817735
Lazio,0,Serie A,9,0.6666666666666666,0.0,0.3333333333333333,98.0,0.0,42.0,140.0,0.7,0.0,0.3
Lazio,1,Serie A,10,0.5,0.5,0.0,70.0,75.0,0.0,145.0,0.4827586206896552,0.5172413793103449,0.0
Lazio,2,Serie A,9,0.5555555555555556,0.2222222222222222,0.2222222222222222,68.0,25.0,28.0,121.0,0.5619834710743802,0.2066115702479339,0.23140495867768596
Lazio,all,Serie A,28,0.5714285714285714,0.25,0.17857142857142858,236.0,100.0,70.0,406.0,0.5812807881773399,0.24630541871921183,0.1724137931034483
Lecce,0,Serie A,10,0.3,0.3,0.4,53.0,44.0,47.0,144.0,0.3680555555555556,0.3055555555555556,0.3263888888888889
Lecce,1,Serie A,11,0.0,0.36363636363636365,0.6363636363636364,0.0,32.0,123.0,155.0,0.0,0.2064516129032258,0.7935483870967742
Lecce,2,Serie A,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,43.0,25.0,39.0,107.0,0.40186915887850466,0.2336448598130841,0.3644859813084112
Lecce,all,Serie A,28,0.21428571428571427,0.32142857142857145,0.4642857142857143,96.0,101.0,209.0,406.0,0.23645320197044334,0.24876847290640394,0.5147783251231527
Leeds,0,Premier League,11,0.0,0.36363636363636365,0.6363636363636364,0.0,62.0,120.0,182.0,0.0,0.34065934065934067,0.6593406593406593
Leeds,1,Premier League,9,0.4444444444444444,0.1111111111111111,0.4444444444444444,46.0,21.0,55.0,122.0,0.3770491803278688,0.1721311475409836,0.45081967213114754
